BookID,BookTitle,CategoryID,Author,Author2,Author3,Author4,Author5,BookCopies,BookPublish,PublisherName,ISBN,Status,Book_Image,BookDateAdded,Language,Bookposition,Bookinformation
1,Clean Code,1,Robert C. Martin,,,,,5,2008,Prentice Hall,978-0132350884,Available,"https://m.media-amazon.com/images/I/81Rnac2Fq+L._AC_UF1000,1000_QL80_.jpg",2023-10-01,English,A-1,"A guide on how to write clear, readable, and maintainable computer code, emphasizing best practices and principles for software craftsmanship."
2,The Pragmatic Programmer,1,Andrew Hunt,David Thomas,,,,3,1999,Addison-Wesley,978-0201616224,Available,https://pragprog.com/titles/tpp20/the-pragmatic-programmer-20th-anniversary-edition/tpp20.jpg,2023-10-01,English,A-2,"Offers advice and philosophy on how to be a more effective, productive, and reliable programmer in the modern software landscape."
3,Design Patterns,1,Erich Gamma,Richard Helm,Ralph Johnson,John Vlissides,,4,1994,Pearson,978-0201633610,Available,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSnT-Y5Mx9ef0llO8MYluWqvY3xGuXglBd5g&s,2023-10-01,English,A-3,"A foundational text (the ""Gang of Four"" book) that catalogs reusable object-oriented software design solutions to common problems."
4,Introduction to Algorithms,1,Thomas H. Cormen,,,,,2,2009,MIT Press,978-0262033848,Borrowed,https://upload.wikimedia.org/wikipedia/en/f/ff/Clrs4.jpeg,2023-10-02,English,B-1,"A comprehensive and widely used textbook covering the fundamentals of algorithms and data structures, known by the initials ""CLRS."""
5,Artificial Intelligence,1,Stuart Russell,Peter Norvig,,,,5,2020,Pearson,978-0134610993,Available,https://upload.wikimedia.org/wikipedia/en/e/e5/Artificial_Intelligence-_A_Modern_Approach.jpg,2023-10-02,English,B-2,"A standard, comprehensive textbook on the theory and practice of modern AI, covering topics from search algorithms to machine learning."
6,Code Complete,1,Steve McConnell,,,,,3,2004,Microsoft Press,978-0735619678,Available,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZ9ekd9M4F56LNOq5Sy2Q20iiQXlZp-JB43A&s,2023-10-03,English,B-3,"A practical handbook detailing software construction techniques, focusing on the art and science of coding, debugging, and systematic testing."
7,Refactoring,1,Martin Fowler,,,,,4,1999,Addison-Wesley,978-0201485677,Available,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWIGUNKdGV4TdG7nsTqCBRt2vYYjwrmz_qSw&s,2023-10-03,English,C-1,Defines and explains the process of restructuring existing computer code without changing its external behavior to improve design and quality.
8,Head First Design Patterns,1,Eric Freeman,,,,,6,2004,O'Reilly Media,978-0596007126,Available,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1408309444i/58128.jpg,2023-10-04,English,C-2,A visually rich guide using brain-friendly learning techniques to teach fundamental software design patterns and object-oriented principles.
9,You Don't Know JS,2,Kyle Simpson,,,,,2,2015,O'Reilly Media,978-1491904244,Available,https://archive.org/services/img/kyle-simpson-all-6/full/pct:200/0/default.jpg,2023-10-04,English,C-3,A series of short books diving deep into the core mechanisms of the JavaScript language to help developers master its subtle parts.
10,The Mythical Man-Month,2,Frederick P. Brooks Jr.,,,,,3,1975,Addison-Wesley,978-0201835953,Available,https://upload.wikimedia.org/wikipedia/en/f/fd/Mythical_man-month_%28book_cover%29.jpg,2023-10-05,English,D-1,"An influential essay on software project management, famously arguing that ""adding more people to a late project only makes it later."""
11,Cosmos,2,Carl Sagan,,,,,5,1980,Ballantine Books,978-0345331309,Available,https://upload.wikimedia.org/wikipedia/en/9/91/Cosmos_book.gif,2023-10-05,English,D-2,"Carl Sagan's exploration of astronomy, science, civilization, and the universe, tied to his legendary 1980 television series."
12,A Brief History of Time,2,Stephen Hawking,,,,,4,1988,Bantam,978-0553380163,Available,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/BriefHistoryTime.jpg/250px-BriefHistoryTime.jpg,2023-10-06,English,D-3,"Stephen Hawking's accessible attempt to explain complex cosmological concepts like the Big Bang, black holes, and the nature of time."
13,The Selfish Gene,2,Richard Dawkins,,,,,3,1976,Oxford University Press,978-0199291151,Available,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1465422718i/30390901.jpg,2023-10-06,English,E-1,"Proposes the gene's eye view of evolution, arguing that natural selection works primarily at the level of the gene, not the individual."
